Data_Length,QR_Type_UPI,QR_Type_URL,QR_Type_TEXT,HTTPS,HTTP,Has_IP_Address,Number_of_Dots,Number_of_Slashes,Number_of_Hyphens,Number_of_Digits,Number_of_Special_Characters,Domain_Length,Domain_Entropy,Number_of_Subdomains,Is_URL_Shortener,Suspicious_TLD,Has_Executable_Ext,Suspicious_Keyword_Count,Has_Suspicious_Keyword,UPI_Payment_Address,UPI_Payee_Name,UPI_Merchant_Code,Label
30,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,4,0,0,7,18,3.5305,1,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,1,4,3,1,11,9,14,2.6106,2,0,0,0,2,1,0,0,0,1
40,0,1,0,0,1,0,2,3,2,0,8,23,3.6212,0,0,1,0,2,1,0,0,0,1
34,0,1,0,1,0,0,2,3,0,0,6,17,3.1751,1,1,0,0,0,0,0,0,0,0
37,0,1,0,0,1,1,4,3,1,11,9,14,2.3249,2,0,0,0,1,1,0,0,0,1
41,0,1,0,1,0,0,2,4,0,0,7,16,3.3278,1,0,0,0,1,1,0,0,0,0
44,0,1,0,0,1,0,2,3,1,0,7,24,3.585,0,0,1,1,2,1,0,0,0,1
36,0,1,0,1,0,0,2,3,0,0,8,11,2.6635,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,4,1,0,8,15,3.3232,1,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,0,2,3,0,0,6,13,3.027,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,2,3,0,0,8,17,3.4548,1,0,0,0,0,0,0,0,0,0
22,0,1,0,0,1,0,1,3,0,1,5,7,2.5216,0,1,0,0,0,0,0,0,0,1
46,0,1,0,1,0,0,2,5,0,5,8,21,3.0823,1,0,0,0,0,0,0,0,0,0
40,0,1,0,1,0,0,2,4,1,0,8,15,3.3232,1,0,0,0,0,0,0,0,0,0
37,0,1,0,1,0,0,2,3,0,0,6,21,3.0823,1,0,0,0,0,0,0,0,0,0
36,0,1,0,1,0,0,2,4,0,0,7,15,3.1899,1,0,0,0,0,0,0,0,0,0
43,0,1,0,1,0,0,2,4,1,0,8,16,3.3278,1,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,2,0,3,7,25,3.7337,0,0,0,0,1,1,1,0,0,1
36,0,1,0,1,0,0,3,3,0,0,7,20,3.5464,2,0,0,0,0,0,0,0,0,0
30,0,1,0,1,0,0,2,3,0,0,6,14,3.182,1,0,0,0,0,0,0,0,0,0
21,0,1,0,0,1,0,1,3,0,1,5,6,1.9183,0,1,0,0,0,0,0,0,0,1
39,0,1,0,1,0,0,2,4,0,0,7,14,2.9502,1,0,0,0,1,1,0,0,0,0
43,1,0,0,0,0,0,0,2,0,5,10,37,4.3303,0,0,0,0,2,1,0,1,0,1
47,0,1,0,1,0,0,2,5,0,5,8,22,3.6978,1,0,0,0,0,0,0,0,0,0
33,0,1,0,1,0,0,2,3,0,0,6,16,3.5778,1,1,0,0,0,0,0,0,0,0
37,0,1,0,0,1,1,4,3,1,10,9,13,2.6612,2,0,0,0,1,1,0,0,0,1
38,0,1,0,1,0,0,2,3,0,0,8,13,2.8731,1,0,0,0,0,0,0,0,0,0
36,0,1,0,1,0,0,2,5,0,5,8,11,2.4817,1,0,0,0,0,0,0,0,0,0
42,0,1,0,1,0,0,3,4,1,0,9,15,2.8226,2,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,4,0,0,7,18,3.5305,1,0,0,0,0,0,0,0,0,0
44,0,1,0,0,1,0,2,3,2,0,8,23,3.882,0,0,1,0,3,1,0,0,0,1
30,0,1,0,1,0,0,3,3,0,0,7,13,2.8151,2,0,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,4,1,0,8,14,3.182,1,1,0,0,0,0,0,0,0,0
39,0,1,0,1,0,0,2,4,0,0,7,14,3.182,1,0,0,0,1,1,0,0,0,0
37,0,1,0,1,0,0,2,4,0,0,7,16,3.5778,1,1,0,0,0,0,0,0,0,0
45,0,1,0,1,0,0,3,4,0,0,8,20,3.5464,2,0,0,0,1,1,0,0,0,0
41,0,1,0,1,0,0,3,4,1,0,9,14,2.8424,2,0,0,0,0,0,0,0,0,0
28,0,1,0,1,0,0,3,2,0,0,6,20,3.5464,2,0,0,0,0,0,0,0,0,0
43,0,1,0,0,1,0,2,3,1,0,7,23,4.1757,0,0,1,1,2,1,0,0,0,1
56,0,1,0,0,1,0,5,3,1,0,10,42,4.0207,4,0,0,0,3,1,0,0,0,1
30,0,1,0,1,0,0,2,3,0,0,6,17,3.1751,1,1,0,0,0,0,0,0,0,0
31,0,1,0,1,0,0,2,3,0,0,6,17,3.1307,1,0,0,0,2,1,0,0,0,0
30,1,0,0,0,0,0,0,2,0,3,7,24,3.9387,0,0,0,0,1,1,1,0,0,1
39,0,1,0,0,1,0,2,3,1,0,7,20,3.6842,0,0,1,0,3,1,0,0,0,1
40,0,1,0,1,0,0,3,5,0,5,9,15,2.8226,2,0,0,0,0,0,0,0,0,0
32,0,1,0,0,1,1,4,3,1,9,9,12,2.8554,2,0,0,0,1,1,0,0,0,1
47,0,1,0,1,0,0,3,4,1,0,9,20,3.5464,2,0,0,0,0,0,0,0,0,0
21,0,1,0,1,0,0,2,2,0,0,5,13,3.027,1,0,0,0,0,0,0,0,0,0
19,0,1,0,1,0,0,2,2,0,0,5,11,2.4817,1,0,0,0,0,0,0,0,0,0
42,1,0,0,0,0,0,0,2,0,5,10,36,4.2527,0,0,0,0,1,1,0,1,0,1
38,0,1,0,1,0,0,2,5,0,5,8,13,3.027,1,0,0,0,0,0,0,0,0,0
21,0,1,0,0,1,0,1,3,0,2,5,6,1.9183,0,1,0,0,0,0,0,0,0,1
51,0,1,0,0,1,0,5,3,1,0,10,39,3.8947,4,0,0,0,3,1,0,0,0,1
31,0,1,0,1,0,0,2,3,0,0,6,14,3.3249,1,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,0,2,3,2,0,8,22,3.5726,0,0,1,0,3,1,0,0,0,1
41,0,1,0,1,0,0,3,4,1,0,9,14,2.8424,2,0,0,0,0,0,0,0,0,0
36,0,1,0,0,1,0,2,3,1,0,7,16,3.75,0,0,1,0,2,1,0,0,0,1
30,0,1,0,1,0,0,2,3,0,0,6,14,3.182,1,1,0,0,0,0,0,0,0,0
37,0,1,0,1,0,0,2,5,0,5,8,12,2.8554,1,0,0,0,0,0,0,0,0,0
