Data_Length,QR_Type_UPI,QR_Type_URL,QR_Type_TEXT,HTTPS,HTTP,Has_IP_Address,Number_of_Dots,Number_of_Slashes,Number_of_Hyphens,Number_of_Digits,Number_of_Special_Characters,Domain_Length,Domain_Entropy,Number_of_Subdomains,Is_URL_Shortener,Suspicious_TLD,Has_Executable_Ext,Suspicious_Keyword_Count,Has_Suspicious_Keyword,UPI_Payment_Address,UPI_Payee_Name,UPI_Merchant_Code,Label
22,0,1,0,1,0,0,2,2,0,0,5,14,2.8424,1,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,2,2,0,0,5,17,3.1751,1,1,0,0,0,0,0,0,0,0
25,0,1,0,1,0,0,2,2,0,0,5,17,3.2195,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,3.182,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,3.3249,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,2.8963,1,0,0,0,0,0,0,0,0,0
21,0,1,0,1,0,0,2,2,0,0,5,13,3.027,1,0,0,0,0,0,0,0,0,0
23,0,1,0,1,0,0,2,2,0,0,5,15,3.1899,1,0,0,0,0,0,0,0,0,0
24,0,1,0,1,0,0,2,2,0,0,5,16,3.3278,1,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,0,2,2,0,0,5,21,3.5945,1,0,0,0,0,0,0,0,0,0
21,0,1,0,1,0,0,2,2,0,0,5,13,3.027,1,0,0,0,0,0,0,0,0,0
23,0,1,0,1,0,0,2,2,0,0,5,15,3.3232,1,0,0,0,0,0,0,0,0,0
19,0,1,0,1,0,0,2,2,0,0,5,11,2.4817,1,0,0,0,0,0,0,0,0,0
20,0,1,0,1,0,0,2,2,0,0,5,12,2.8554,1,1,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,3.182,1,1,0,0,0,0,0,0,0,0
24,0,1,0,1,0,0,2,2,0,0,5,16,3.1556,1,0,0,0,0,0,0,0,0,0
19,0,1,0,1,0,0,2,2,0,0,5,11,2.8454,1,0,0,0,0,0,0,0,0,0
24,0,1,0,1,0,0,2,2,0,0,5,16,3.4528,1,0,0,0,0,0,0,0,0,0
20,0,1,0,1,0,0,2,2,0,0,5,12,2.6258,1,0,0,0,0,0,0,0,0,0
23,0,1,0,1,0,0,2,2,0,0,5,15,3.1899,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,3.0391,1,0,0,0,0,0,0,0,0,0
22,0,1,0,1,0,0,2,2,0,0,5,14,3.3249,1,0,0,0,0,0,0,0,0,0
29,0,1,0,1,0,0,2,2,0,0,5,21,3.5585,1,0,0,0,1,1,0,0,0,0
21,0,1,0,1,0,0,2,2,0,0,5,13,3.027,1,0,0,0,0,0,0,0,0,0
24,0,1,0,1,0,0,2,2,0,0,5,16,3.4528,1,0,0,0,1,1,0,0,0,0
25,0,1,0,1,0,0,2,2,0,0,5,17,3.1307,1,0,0,0,1,1,0,0,0,0
21,0,1,0,1,0,0,3,2,0,0,6,13,2.8151,2,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,2,0,8,15,50,4.3913,0,0,0,0,0,0,1,1,1,0
85,1,0,0,0,0,0,1,2,0,18,18,61,4.8529,0,0,0,0,0,0,1,1,1,0
58,1,0,0,0,0,0,0,2,0,4,11,33,4.3549,0,0,0,0,0,0,1,1,1,0
51,1,0,0,0,0,0,0,2,0,4,11,30,4.1484,0,0,0,0,0,0,1,1,1,0
46,1,0,0,0,0,0,0,2,0,0,10,23,3.969,0,0,0,0,0,0,1,1,0,0
48,0,0,1,0,0,0,1,0,0,11,8,0,0.0,0,0,0,0,0,0,0,0,0,0
76,0,0,1,0,0,0,0,0,0,4,10,0,0.0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,0,0,0,0,0,0,4,10,0,0.0,0,0,0,0,0,0,0,0,0,0
41,0,1,0,0,1,1,3,5,0,10,9,13,2.5654,2,0,0,0,3,1,0,0,0,1
40,0,1,0,0,1,1,4,4,1,5,10,8,1.5613,2,0,0,1,3,1,0,0,0,1
52,0,1,0,0,1,1,4,5,1,10,11,13,2.8151,2,0,0,0,4,1,0,0,0,1
46,0,1,0,0,1,0,1,4,2,0,8,24,3.9702,0,0,0,0,4,1,0,0,0,1
47,0,1,0,0,1,0,1,4,2,0,8,25,3.8137,0,0,0,0,5,1,0,0,0,1
34,0,1,0,0,1,0,1,3,2,0,7,21,3.4992,0,0,0,0,4,1,0,0,0,1
41,0,1,0,0,1,0,1,3,2,0,7,28,3.9677,0,0,0,0,4,1,0,0,0,1
47,0,1,0,0,1,0,1,3,3,0,8,33,3.8997,0,0,1,0,3,1,0,0,0,1
44,0,1,0,0,1,0,2,3,3,0,9,27,4.0784,0,0,1,0,4,1,0,0,0,1
50,0,1,0,0,1,0,1,3,3,0,8,36,3.9194,0,0,1,0,2,1,0,0,0,1
47,0,1,0,0,1,0,1,3,4,0,9,28,3.7534,0,0,1,0,3,1,0,0,0,1
37,0,1,0,0,1,0,1,3,0,2,8,6,2.585,0,1,0,0,2,1,0,0,0,1
51,0,1,0,0,1,0,1,3,3,0,8,11,3.4594,0,1,0,0,3,1,0,0,0,1
57,0,1,0,0,1,0,1,4,3,0,9,39,3.8679,0,0,0,0,4,1,0,0,0,1
46,0,1,0,0,1,0,1,3,4,0,9,34,3.8078,0,0,1,0,1,1,0,0,0,1
51,0,1,0,0,1,0,1,3,3,0,8,37,4.1008,0,1,0,0,4,1,0,0,0,1
52,0,1,0,0,1,0,1,3,3,0,8,37,3.8516,0,0,1,0,3,1,0,0,0,1
49,0,1,0,0,1,0,1,3,4,0,9,32,3.8789,0,0,1,0,3,1,0,0,0,1
47,0,1,0,0,1,0,1,3,3,0,8,34,4.0797,0,0,1,0,4,1,0,0,0,1
46,0,1,0,0,1,0,1,3,3,0,8,32,3.7928,0,0,1,0,3,1,0,0,0,1
51,0,1,0,0,1,0,1,3,4,0,9,33,3.9306,0,1,0,0,3,1,0,0,0,1
56,1,0,0,0,0,0,0,2,0,6,12,33,4.0667,0,0,0,0,2,1,1,1,0,1
53,1,0,0,0,0,0,0,2,1,0,11,26,4.027,0,0,0,0,5,1,1,1,0,1
59,1,0,0,0,0,0,0,2,1,0,11,33,4.1502,0,0,0,0,2,1,1,1,0,1
51,0,1,0,0,1,0,2,3,3,0,9,34,3.9764,0,0,0,1,2,1,0,0,0,1
53,0,1,0,0,1,0,2,3,3,0,9,35,3.857,0,0,0,1,2,1,0,0,0,1
52,0,1,0,0,1,0,2,3,3,0,9,31,3.9779,0,0,0,1,1,1,0,0,0,1
52,0,1,0,0,1,0,1,4,4,0,10,32,3.9764,0,0,0,0,4,1,0,0,0,1
48,0,1,0,0,1,0,1,3,3,0,8,33,3.8967,0,0,0,0,2,1,0,0,0,1
45,0,1,0,0,1,0,1,3,3,0,8,34,3.9842,0,0,1,0,1,1,0,0,0,1
49,0,1,0,0,1,0,1,3,3,0,8,36,4.0833,0,0,1,0,1,1,0,0,0,1
